login_id,total_stargazers_count
MafujShikder,25
trietptm,34
hozaka,5
MaxValue,6
poguez,4
Skyhoper,0
jcfischer,78
ChunMengLu,22
kalamaznik,4
leereilly,34
liangwenke,26
adamJLev,6
TroyDWhite,1
jake100,44
thekvn,41
mattvick,11
gourneau,16
ttriche,24
artob,67
lgs,1
dadaphl,9
aycanirican,36
majorgreys,4
chrisketchel,0
xalakox,23
RichAyotte,13
ivan,0
krodyx,2
jbelsky,0
ilmalte,6
kij,0
standino,0
iNDicat0r,15
rociiu,138
vkandola,48
piclez,42
igrigorik,15523
rbeene,78
STUNT101,0
Xyphex,4
springnet,6
mmcgrana,6857
michaelkoper,23
jonathannelson,0
SeanReid,0
abhiyerra,7
andy-williams,15
ddjjj,0
ArefMq,145
dryajov,8
nwoods2019,0
lumberjackchef,3
Jungjaegu,0
rob4lderman,22
opengineer,35
robbinhan,28
algebric,55
guilleiguaran,32
andresdouglas,84
Linux-Player,20
jm,316
shimarin,5
fundon,59
newhoggy,61
kjaylee,0
pablogarriga,0
catull,41
rmoriz,13
erdos,156
brianleroux,48
fabianhjr,8
ret,17
teehemkay,0
manjotkhangura,0
tentone,2408
m1kal,18
mstraughan86,132
memoar,0
atsiarenia,4
travisbrady,107
mountain,50
cwsaylor,75
sonmio,4
dplewis,57
jsonmaur,1940
jcrosby,506
johnbey,0
dlwh,1064
