login_id,repo_count,follower_count,member_since
hj91,197.0,32.0, 2010-09-12 
BrianGator,0.0,5.0, 2011-01-14 
yuanwencong,4.0,10.0, 2011-03-18 
rajanand,31.0,46.0, 2011-08-27 
selimozergun,4.0,9.0, 2011-09-06 
obfuscat3d,1.0,11.0, 2011-10-10 
memoar,0.0,0.0, 2011-11-26 
Ryanfahiramaulana,0.0,3.0, 2011-11-29 
Zer0Root,3.0,158.0, 2012-01-02 
waibo,190.0,46.0, 2012-01-03 
ChrisMoney,0.0,26.0, 2012-01-15 
vrnithinkumar,116.0,43.0, 2012-02-07 
peterprokop,74.0,39.0, 2012-02-26 
rajeshvv,168.0,38.0, 2012-03-07 
JurandyBitConnect,3.0,10.0, 2012-06-20 
drewmeyers,1.0,31.0, 2012-08-18 
gnashe,2.0,31.0, 2012-08-30 
abhiyerra,129.0,62.0, 2008-04-11 
brianmario,33.0,855.0, 2008-05-26 
DoktahWorm,10.0,11.0, 2009-10-11 
hmcfletch,35.0,16.0, 2008-11-02 
ericabouaf,109.0,99.0, 2008-12-09 
jpf,157.0,288.0, 2008-12-19 
hellojwilde,49.0,44.0, 2009-01-05 
Siim,40.0,50.0, 2009-01-05 
minglecm,35.0,78.0, 2009-01-10 
gcollazo,89.0,420.0, 2009-03-07 
allangrant,15.0,35.0, 2009-03-12 
kanzure,160.0,474.0, 2009-07-03 
seanahrens,18.0,15.0, 2009-07-29 
adamJLev,40.0,27.0, 2010-01-23 
danstorms,7.0,8.0, 2010-08-09 
naharris212,0.0,5.0, 2010-11-24 
davidkuchar,26.0,28.0, 2010-11-30 
brajadorable,11.0,47.0, 2011-05-10 
SourceBoy,6.0,3.0, 2011-05-16 
jsonmaur,32.0,183.0, 2011-07-12 
macressler,947.0,300.0, 2011-11-16 
MnkyPwz,20.0,17.0, 2012-01-01 
toxtli,1150.0,2113.0, 2012-01-02 
Bunlong,215.0,1866.0, 2012-01-06 
b3bakyt,16.0,3.0, 2012-02-23 
dumpytown,2.0,11.0, 2012-05-04 
robbyrob42,10.0,8.0, 2012-10-10 
benjaminmbrown,130.0,43.0, 2012-10-11 
mountain,67.0,262.0, 2008-02-25 
j2nick20,1.0,20.0, 2014-03-32 
ZenCocoon,73.0,36.0, 2008-05-16 
wouterdebres,3.0,6.0, 2008-05-19 
henrygarner,109.0,82.0, 2008-09-14 
shanx,80.0,32.0, 2008-10-06 
andreypopp,444.0,865.0, 2008-10-23 
mathieuravaux,127.0,96.0, 2008-12-05 
stonegao,140.0,292.0, 2008-12-22 
bobpoekert,97.0,85.0, 2009-01-10 
ticean,62.0,75.0, 2009-01-15 
karsthammer,49.0,13.0, 2009-03-23 
kirillsalykin,23.0,13.0, 2009-10-07 
bcambel,74.0,113.0, 2009-10-25 
davidself,3.0,13.0, 2009-12-01 
alexanderdean,6.0,204.0, 2010-02-09 
